response     time	intercept	  time        x1        x2
7.143419   0.000000   1.000000   0.000000   0.000000   0.000000   
8.460538   0.000000   1.000000   0.000000   1.000000   0.000000   
6.680423   0.500000   1.000000   0.500000   1.000000   0.500000   
9.165576   1.000000   1.000000   1.000000   1.000000   1.000000   
8.502162   0.000000   1.000000   0.000000   0.000000   0.000000   
7.194571   0.000000   1.000000   0.000000   1.000000   0.000000   
9.081310   0.500000   1.000000   0.500000   1.000000   0.500000   
9.478174   1.000000   1.000000   1.000000   1.000000   1.000000   
8.131800   1.500000   1.000000   1.500000   1.000000   1.500000   
2.812791   0.000000   1.000000   0.000000   1.000000   0.000000   
9.122849   0.000000   1.000000   0.000000   0.000000   0.000000   
12.948632   0.500000   1.000000   0.500000   0.000000   0.000000   
14.617275   1.000000   1.000000   1.000000   0.000000   0.000000   
9.276288   1.500000   1.000000   1.500000   0.000000   0.000000   
9.160655   0.000000   1.000000   0.000000   0.000000   0.000000   
9.872875   0.500000   1.000000   0.500000   0.000000   0.000000   
13.909737   1.000000   1.000000   1.000000   0.000000   0.000000   
11.047663   1.500000   1.000000   1.500000   0.000000   0.000000   
10.030971   0.000000   1.000000   0.000000   0.000000   0.000000   
12.132900   0.500000   1.000000   0.500000   0.000000   0.000000   
5.413256   0.000000   1.000000   0.000000   1.000000   0.000000   
13.099809   0.500000   1.000000   0.500000   1.000000   0.500000   
10.957890   1.000000   1.000000   1.000000   1.000000   1.000000   
14.194353   1.500000   1.000000   1.500000   1.000000   1.500000   
8.203285   0.000000   1.000000   0.000000   0.000000   0.000000   
10.118941   0.500000   1.000000   0.500000   0.000000   0.000000   
13.965538   1.000000   1.000000   1.000000   0.000000   0.000000   
11.819340   1.500000   1.000000   1.500000   0.000000   0.000000   
7.651753   0.000000   1.000000   0.000000   0.000000   0.000000   
9.943691   0.500000   1.000000   0.500000   0.000000   0.000000   
7.466338   0.000000   1.000000   0.000000   1.000000   0.000000   
6.900604   0.500000   1.000000   0.500000   1.000000   0.500000   
9.369765   1.000000   1.000000   1.000000   1.000000   1.000000   
8.303116   1.500000   1.000000   1.500000   1.000000   1.500000   
5.681659   2.000000   1.000000   2.000000   1.000000   2.000000   
7.530214   2.500000   1.000000   2.500000   1.000000   2.500000   
12.858376   0.000000   1.000000   0.000000   0.000000   0.000000   
11.684325   0.500000   1.000000   0.500000   0.000000   0.000000   
8.335715   0.000000   1.000000   0.000000   0.000000   0.000000   
6.155970   0.000000   1.000000   0.000000   1.000000   0.000000   
8.929638   0.500000   1.000000   0.500000   1.000000   0.500000   
10.406656   1.000000   1.000000   1.000000   1.000000   1.000000   
15.974406   1.500000   1.000000   1.500000   1.000000   1.500000   
12.290913   2.000000   1.000000   2.000000   1.000000   2.000000   
14.253388   0.000000   1.000000   0.000000   0.000000   0.000000   
12.028737   0.000000   1.000000   0.000000   0.000000   0.000000   
8.802762   0.000000   1.000000   0.000000   0.000000   0.000000   
7.454742   0.000000   1.000000   0.000000   1.000000   0.000000   
8.513044   0.500000   1.000000   0.500000   1.000000   0.500000   
9.471611   1.000000   1.000000   1.000000   1.000000   1.000000   
14.584172   1.500000   1.000000   1.500000   1.000000   1.500000   
6.706083   2.000000   1.000000   2.000000   1.000000   2.000000   
6.664797   2.500000   1.000000   2.500000   1.000000   2.500000   
11.976636   3.000000   1.000000   3.000000   1.000000   3.000000   
11.334564   3.500000   1.000000   3.500000   1.000000   3.500000   
8.457562   0.000000   1.000000   0.000000   1.000000   0.000000   
8.495478   0.500000   1.000000   0.500000   1.000000   0.500000   
8.377059   1.000000   1.000000   1.000000   1.000000   1.000000   
9.026563   1.500000   1.000000   1.500000   1.000000   1.500000   
10.406382   2.000000   1.000000   2.000000   1.000000   2.000000   
